| Sigla | Mercado                  | Incluídos                                           | Excluídos                                                                      | Idioma                      |
| FRCN  | França Canadá            | Canadá                                              | Nenhuma                                                                        | Francês                     |
| FREU  | França Europa            | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Francês                     |
| FRMD  | França Mundo             | Worldwide                                           | Taiwan                                                                         | Francês                     |
| EL    | Grécia                   | Grécia                                              | Nenhuma                                                                        | Grego                       |
| NL    | Holanda                  | Holanda                                             | Nenhuma                                                                        | Holandês                    |
| HU    | Hungria                  | Hungria                                             | Nenhuma                                                                        | Húngaro                     |
| HIOM  | Hindi Oriente Médio      | Emirados Árabes Unidos, Catar, Arábia Saudita       | Nenhuma                                                                        | Hindi                       |
| HI    | Hindi                    | Índia                                               | Nenhuma                                                                        | Hindi                       |
| ID    | Indonésia                | Indonésia                                           | Nenhuma                                                                        | Indonésio                   |
| ENAU  | Inglês Austrália         | Austrália                                           | Nenhuma                                                                        | Inglês                      |
| ENCA  | Inglês Canadá            | Canadá                                              | Nenhuma                                                                        | Inglês                      |
| ENOM  | Inglês Oriente Médio     | Emirados Árabes Unidos, Catar, Arábia Saudita       | Nenhuma                                                                        | Inglês                      |
| ENRU  | Inglês Reino Unido       | Reino Unido                                         | Nenhuma                                                                        | Inglês                      |
| ENNZ  | Inglês Nova Zelândia     | Nova Zelândia                                       | Nenhuma                                                                        | Inglês                      |
| ENAF  | Inglês África do Sul     | África do Sul                                       | Nenhuma                                                                        | Inglês                      |
| HE    | Israel                   | Israel                                              | Nenhuma                                                                        | Hebraico                    |
| IT    | Itália                   | Itália                                              | Nenhuma                                                                        | Italiano                    |
| JP    | Japão                    | Japão                                               | Nenhuma                                                                        | Japonês                     |
| MS    | Malásia                  | Malásia                                             | Nenhuma                                                                        | Malaio                      |
| PL    | Polônia                  | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Polonês                     |
| RO    | Romênia                  | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Romeno                      |
| RUEU  | Rússia Europa            | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Russo                       |
| SRO   | S/Romênia                | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo, Romênia | Romeno                      |
| RU    | Rússia Mundo             | Worldwide                                           | Taiwan                                                                         | Russo                       |
| SR    | Sérvia                   | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Sérvio                      |
| TH    | Tailândia                | Worldwide                                           | Camboja, Laos, Myanmar, Taiwan                                                 | Tailandês                   |
| CS    | Tcheco                   | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Tcheco                      |
| TREU  | Turco Europa             | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Turco                       |
| TRM   | Turco Mundo              | Worldwide                                           | Taiwan                                                                         | Turco                       |
| UK    | Ucrânia                  | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Ucraniano                   |
| UROM  | Urdu Oriente Médio       | Emirados Árabes Unidos, Catar, Arábia Saudita       | Nenhuma                                                                        | Urdu                        |
| VI    | Vietnã                   | Worldwide                                           | Taiwan                                                                         | Vietnamita                  |
| LT    | Lituânia                 | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Lituano                     |
| SV    | Suécia                   | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Sueco                       |
